title,urls,tags,description,renowned
Aaron W. Reed,[https://instagram.com/aaronw.reed],,,no
Aline Cassaro,[https://www.instagram.com/alinecassaro],,Educadora física de referência,no
BPAK Fitness,[https://instagram.com/bpakfitness],,Intelligent Muscle Building,yes
Doc Jen Fit,[https://instagram.com/docjenfit],,,no
Dr. Giardina,[https://instagram.com/dr.giardina],,Physical Therapy,yes
Fit Science PT,[https://www.instagram.com/p/C5GKy70spdT/],,Profissional de exercício físico alternativo/correcto,no
Fit Science PT,[https://www.instagram.com/fit_science_pt/],,Fisiologista do exercito,no
Functional Patterns,[https://www.instagram.com/functionalpatterns],,Revolutionary functional exercises,no
Jen Health,[https://instagram.com/jen.health],,,no
MT Performance DK,[https://www.instagram.com/mtperformancedk],,Fascia researcher,yes
Naudi Aguilar,[https://www.instagram.com/naudiaguilar],,Functional Patterns body exercises,no
No Muscle Pain,[https://www.instagram.com/nomusclepain],,Stretching Exercises,no
Physical Therapy Session,[https://www.instagram.com/physicaltherapysession],,Daily routine of recovery exercises,yes
Squat University,[https://www.instagram.com/squat_university],,Professional on exercising with correct posture,no
Squat University,[https://www.instagram.com/squat_university],,Orthodox exercises,no
The PT Initiative,[https://www.instagram.com/theptinitiative],,Body recovery exercises,no
